L.p.;NUMER;PYTANIE;ODP1;ODP2;ODP3;ODP4
539;PL010-0638;Wysokość przejściowa w FIR EPWW w przestrzeni klasy G została ustalona na 6500 ft (2000 m) AMSL. Wysokość ta jest to:;Wysokość, na i poniżej której pozycja statku powietrznego w płaszczyźnie pionowej określana jest jako wysokość bezwzględna;Wysokość bezwzględna, na której pilot przestawia wysokościomierz ze STD na QNH;Wysokość względna, na której pilot przestawia wysokościomierz z QNH na STD;Wysokość, powyżej której wszystkich obowiązuje nastawienie wysokościomierzy na STD
540;PL010-0639;Z jakich części składa się szkolenie lotnicze do uzyskania licencji lub uprawnienia lotniczego?;Szkolenie teoretyczne i praktyczne;Tylko szkolenie teoretyczne;Tylko szkolenie praktyczne;Tylko szkolenie językowe
541;PL010-0640;Z jakich części składa się szkolenie lotnicze?;Szkolenie teoretyczne i praktyczne;Tylko szkolenie teoretyczne;Tylko szkolenie językowe;Tylko szkolenie praktyczne
542;PL010-1337;Jeżeli nie podano inaczej w zezwoleniu kontroli ruchu lotniczego i jeżeli będzie zachowana minimalna wysokość nad gęstą zabudową miast lub osiedli lub zgromadzeniem osób na otwartym powietrzu, lot VFR w FIR Warszawa w przestrzeni klasy C przelot poziomy może się odbyć na;wysokości bezwzględnej 600 m;wysokości bezwzględnej 1250 m;wysokości bezwzględnej 1450 m;wysokości bezwzględnej 1550 m
543;PL010-1531;Płyta postojowa znajduje się na:;Lotnisku lądowym;Lądowisku;Lotnisku lądowo- wodnym;Lotnisku wodnym
544;PL010-1532;Kto określa Akceptowalne Sposoby Spełnienia Wymagań (AMC)?;EASA;EUROCONTROL;ICAO;ECAC
545;PL010-1533;Loty nocne VFR nie mogą być wykonywane jeśli:;Pułap chmur wynosi mniej niż 450 m;Pułap chnur wynosi mniej niż FL 150;Pułap chnur wynosi mniej niż 195;Pułap chnur wynosi mniej niż FL 200
546;PL010-1534;Loty VFR nie mogą być wykonywane:;Powyżej FL 195;Powyżej FL 150;Powyżej 450 m;Powyżej FL 200
547;PL010-1535;Wyrażenie ogólne obejmujące odpowiednio służbę informacji powietrznej, służbę alarmową, służbę doradczą ruchu lotniczego, służbę kontroli ruchu lotniczego (służba kontroli obszaru, służba kontroli zbliżania lub służba kontroli lotniska) to:;Służba ruchu lotniczego;Służba łączności, nawigacji i dozorowania;Służba meteorologiczna;Służby informacji lotniczej
548;PL010-1536;Oprócz służb lączności, nawigacji i dozorowania statkom powietrznym wykonującym loty w polskiej przestrzeni powietrznej zapewnia się:;Służby informacji powietrznej;Służby nawigacji;Służby dozorowania;COM
549;PL010-1537;Oprócz służb ruchu lotniczego statkom powietrznym wykonującym loty w polskiej przestrzeni powietrznej zapewnia się:;Służbę łączności, nawigacji i dozorowania;APP;TWR;Służbę alarmową
550;PL010-1538;Oprócz służb ruchu lotniczego statkom powietrznym wykonującym loty w polskiej przestrzeni powietrznej zapewnia się:;Służbę informacji lotniczej;Służbę kontroli ruchu lotniczego;TWR;Służbę alarmową
551;PL010-1539;Orzeczenie lotniczo-lekarskie Klasy 2 wydane dla osoby w 30 roku życia posiada ważność:;60 miesięcy;12 miesięcy;24 miesiące;6 miesięcy
552;PL010-1540;Orzeczenie lotniczo-lekarskie Klasy I wydane dla osoby powyżej 60 roku życia posiada ważność:;6 miesięcy;12 miesięcy;24 miesiące;18 miesięcy
553;PL010-1541;Kto musi opracować instrukcje szkolenia i operacyjne wytyczne, zawierające informacje w jaki sposób należy spełnić wymagania szkoleniowe?;ATO;AOC;EASA;AWC
554;PL010-1542;Ile wynosi okres ważności uprawnień na klasę i typ statku powietrznego?;1 rok;6 miesięcy;3 lata;5 lat
555;PL010-1543;Z ilu liter składa się wskaźnik lokalizacji?;4;3;2;5
556;PL010-1544;Kto jest centralnym organem administracji rządowej właściwym w sprawach lotnictwa cywilnego w Polsce?;Prezes ULC;Minister Komunikacji;Minister Lotnictwa;Prezes Rady Ministrów
557;PL010-1545;Z jakich części składa się egzamin państwowy w celu uzyskania licencji?;Egzaminu teoretycznego i praktycznego;Tylko egzaminu praktycznego;Tylko egzaminu teoretycznego;Tylko egzaminu językowego
558;PL010-1546;Czy palenie tytoniu na pokładzie szybowca jest dozwolone?;Nie;Tak, po zgodzie Prezesa ULC;Tak, po zgodzie ATS;Tak
559;PL010-1547;Co oznacza EASA?;Europejską Agencję Bezpieczeństwa Lotniczego;Zrzeszenie Władz Lotniczych;Europejską Konferencję Lotnictwa Cywilnego;Europejską Organizację do Spraw Bezpieczeństwa Żeglugi Powietrznej
560;PL010-1548;Licencja pilota lekkich statków powietrznych to:;LAPL;BPL;FNL;FRL
561;PL010-1549;Zaświadczenie o ukończeniu szkolenia teoretycznego wydane przez ATO zachowuje ważność przez:;12 miesięcy;6 miesięcy;10 miesięcy;24 miesiące
562;PL010-1550;Kto prowadzi rejestr podmiotów szkolących?;Prezes Urzędu Lotnictwa Cywilnego;Minister Infrastruktury;Minister właściwy do spraw transportu;Minister Komunikacji
563;PL010-1551;Kiedy sprawdza się sprawność psychiczną i fizyczną członka personelu pokładowego?;W trakcie badań lotniczo- lekarskich;W trakcie rozmowy w ATO;W trakcie rozmowy kwalifikacyjnej prowadzonej przez organizację do której przynależy dany członek personelu lotniczego;W trakcie rozmowy w AOC
564;PL010-1552;W trakcie korzystania z uprawnień wynikających z licencji pilot musi mieć przy sobie:;Ważną licencję, dokument identyfikacyjny ze zdjęciem oraz orzeczenie lekarskie;Ważną licencję oraz dokument identyfikacyjny ze zdjęciem;Ważną licencję oraz orzeczenie lekarskie;Dokument identyfikacyjny ze zdjęciem oraz orzeczenie lekarskie
565;PL010-1553;Meldunki o przylocie nadawane przez pilota dowódcę statku powietrznego zawierają następujące elementy informacji:;Znak rozpoznawczy statku powietrznego i lotnisko odlotu lub miejsce operacji lotniczej;Warunki pogodowe podczas lotu;Znak rozpoznawczy statku powietrznego;Numer polisy ubezpieczeniowej statku powietrznego
566;PL010-1554;Kto usuwa statki powietrzne z rejestru statków powietrznych?;Prezes Urzędu Lotnictwa Cywilnego;Minister Infrastruktury;Minister właściwy do spraw transportu;Minister Komunikacji
567;PL010-1555;Odległość, z której pilot statku powietrznego, znajdującego się w osi drogi startowej, może zobaczyć oznakowanie tej drogi lub światła ją obrysowujące, lub zidentyfikować jej oś to:;RVR;IR;VFR;FPL
568;PL010-1556;Który Załącznik do Konwencji o Międzynarodowym Lotnictwie Cywilnym określa Służby ruchu lotniczego?;Załącznik 11;Załącznik 2;Załącznik 1;Załącznik 12
569;PL010-1557;Który Załącznik do Konwencji o Międzynarodowym Lotnictwie Cywilnym określa Licencjonowanie personelu?;Załącznik 1;Załącznik 2;Załącznik 11;Załącznik 12
570;PL010-1558;Który Załącznik do Konwencji o Międzynarodowym Lotnictwie Cywilnym określa Przepisy ruchu lotniczego?;Załącznik 2;Załącznik 1;Załącznik 11;Załącznik 12
571;PL010-1559;Boczne granice strefy kontrolowanej lotniska od środka danego lotniska lub środków lotnisk w kierunkach, z których mogą być wykonywane podejścia do lądowania sięgają co najmniej?;9,3 km (5 NM);7,4km (4 NM);45 km (25 NM);11,1 km (6NM)
572;PL010-1560;Gdzie osoba ubiegająca się o licencję SPL, BPL lub PPL musi ukończyć szkolenie lotnicze?;W ATO;W AHAC;W CTO;W POA
573;PL010-1561;Przed odbyciem swojego pierwszego samodzielnego lotu uczeń-pilot musi mieć ukończone co najmniej?;14 lat w przypadku szybowców;15 lat w przypadku szybowców;16 lat w przypadku szybowców;17 lat w przypadku szybowców
574;PL010-1562;Przed odbyciem swojego pierwszego samodzielnego lotu uczeń-pilot musi mieć ukończone co najmniej?;16 lat w przypadku samolotów;15 lat w przypadku samolotów;14 lat w przypadku szybowców;17 lat w przypadku samolotów
575;PL010-1563;W jakim przypadku można cofnąć albo zawiesić licencję lub wynikające z niej niektóre uprawnienia?;W przypadku sfałszowania dziennika pokładowego oraz licencji;W przypadku braku opłaty lotniczej;W przypadku stwierdzenia że członek personelu lotniczego nie jest obywatelem polskim;W przypadku stwierdzenia że członek personelu lotniczego nie jest obywatelem UE
576;PL010-1564;W jakim przypadku można cofnąć albo zawiesić licencję lub wynikające z niej niektóre uprawnienia?;W przypadku uzyskania licencji pilota poprzez sfałszowanie przedłożonych dokumentów dowodowych;W przypadku braku opłaty lotniczej;W przypadku stwierdzenia że członek personelu lotniczego nie jest obywatelem polskim;W przypadku stwierdzenia że członek personelu lotniczego nie jest obywatelem UE
577;PL010-1565;Uprawnienie do wykonywania lotów według wskazań przyrządów na trasie to:;EIR;IFR;VFR;EIRT
578;PL010-1566;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) powinien wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Prawo lotnicze;Prawo cywilne;Prawo karne;Prawo pracy
579;PL010-1567;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) powinien wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Osiągi i planowanie lotów;Wiedza ogólna o lotnictwie;Trasa lotu;Wiedza z medycyny lotniczej
580;PL010-1568;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) powinien wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Człowiek – możliwości i ograniczenia;Funkcje życiowe człowieka;Trasa lotu;Psychologia człowieka
581;PL010-1569;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) powinien wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Meteorologia;Funkcje życiowe człowieka;Trasa lotu;Psychologia człowieka
582;PL010-1570;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) powinien wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Nawigacja;Prawo karne;Prawo cywilne;Psychologia człowieka
583;PL010-1571;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) powinien wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Procedury operacyjne;Funkcje życiowe człowieka;Trasa lotu;Pedagogika
584;PL010-1572;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) powinien wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Zasady lotu;Aerodynamika;Trasa lotu;Pedagogika
585;PL010-1573;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) powinien wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Łączność;Funkcje życiowe człowieka;Trasa lotu;Psychologia człowieka
586;PL010-1574;Kandydat ubiegający się o uzyskanie licencji pilota turystycznego (PPL) nie musi wykazać podczas egzaminu teoretycznego, że posiada wiedzę w zakresie przedmiotu:;Psychologia człowieka;Zasady lotu;Procedury operacyjne;Łączność
587;PL010-1575;Kto może wnosić i używać na pokładzie statku powietrznego broń palną i gazową?;Funkcjonariusze Straży Granicznej podczas wykonywania czynności służbowych;Inspektorzy ULC podczas wykonywania czynności służbowych;Straż Miejska podczas wykonywania czynności służbowych;Funkcjonariusze Ministerstwa Infrastruktury podczas wykonywania czynności służbowych
588;PL010-1576;Z wyjątkiem sytuacji, gdy jest to konieczne ze względu na start lub lądowanie loty VFR nie mogą być wykonywane w przestrzeni klasy B nad lasami na wysokości względnej mniejszej niż:;300 m nad najwyższą przeszkodą;250 nad najwyższą przeszkodą;200 nad najwyższą przeszkodą;350 m nad najwyższą przeszkodą
589;PL010-1577;Z wyjątkiem sytuacji, gdy jest to konieczne ze względu na start lub lądowanie loty VFR nie mogą być wykonywane w przestrzeni klasy C nad lasami na wysokości względnej mniejszej niż:;300 m nad najwyższą przeszkodą;250 nad najwyższą przeszkodą;200 nad najwyższą przeszkodą;350 m nad najwyższą przeszkodą
590;PL010-1578;Z wyjątkiem sytuacji, gdy jest to konieczne ze względu na start lub lądowanie loty VFR nie mogą być wykonywane w przestrzeni klasy D nad lasami na wysokości względnej mniejszej niż:;300 m nad najwyższą przeszkodą;250 nad najwyższą przeszkodą;200 nad najwyższą przeszkodą;350 m nad najwyższą przeszkodą
591;PL010-1579;Z wyjątkiem sytuacji, gdy jest to konieczne ze względu na start lub lądowanie loty VFR nie mogą być wykonywane w przestrzeni klasy E nad lasami na wysokości względnej mniejszej niż:;300 m nad najwyższą przeszkodą;250 nad najwyższą przeszkodą;200 nad najwyższą przeszkodą;350 m nad najwyższą przeszkodą
592;PL010-1580;Z wyjątkiem sytuacji, gdy jest to konieczne ze względu na start lub lądowanie loty VFR nie mogą być wykonywane w przestrzeni klasy F nad lasami na wysokości względnej mniejszej niż:;300 m nad najwyższą przeszkodą;250 nad najwyższą przeszkodą;200 nad najwyższą przeszkodą;350 m nad najwyższą przeszkodą
593;PL010-1581;Z wyjątkiem sytuacji, gdy jest to konieczne ze względu na start lub lądowanie loty VFR nie mogą być wykonywane w przestrzeni klasy G nad lasami na wysokości względnej mniejszej niż:;300 m nad najwyższą przeszkodą;250 nad najwyższą przeszkodą;200 nad najwyższą przeszkodą;350 m nad najwyższą przeszkodą
594;PL020-0001;Usterzenie ogonowe:;Zapewnia stateczność i sterowność podłużną oraz kierunkową;Zapewnia sterowność kierunkową;Zapewnia sterowność podłużną;Zapewnia stateczność podłużną
595;PL020-0003;Co mierzy prędkościomierz jako lotniczy przyrząd pokładowy:;prędkość lotu samolotu względem otaczających mas powietrza;ciśnienie lotniska;kurs samolotu;wysokość lotu
596;PL020-0004;Elementem pomiarowym (czułym) prędkościomierza jest:;różnicowa puszka membranowa;rurka Burdona;puszka aneroidowa;przepona gumowa
597;PL020-0005;Elementem pomiarowym (czułym) wysokościomierza jest:;puszka próżniowa aneroidowa;przepona gumowa;rurka Burdona;różnicowa puszka membranowa
598;PL020-0006;Hamowanie kołami podwozia jest:;Hydrauliczne lub pneumatyczne;Pneumatyczno- elektryczne;Pneumatyczne;Elektryczne
599;PL020-0007;Jakie ciśnienia doprowadzone są do prędkościomierza:;statyczne i całkowite;dynamiczne i statyczne;dynamiczne i całkowite;całkowite
600;PL020-0008;Jakie ciśnienie doprowadzane jest do wysokościomierza:;statyczne;dynamiczne i statyczne;całkowite i dynamiczne;całkowite
601;PL020-0009;Jakie parametry odczytujemy z wysokościomierza:;ciśnienie lotniska i wysokość lotu;ciśnienie lotniska;wysokość lotu;wysokość lotniska
602;PL020-0010;Kadłub konstrukcji półskorupowej składa się:;Wręgi, podłużnice, pokrycie;Dźwigary, wręgi, pokrycie;Wręgi, podłużnice, dźwigary;Pokrycie, podłużnice, dźwigary
603;PL020-0011;Kadłub o konstrukcji skorupowej składa się:;Głównym elementem siłowym jest pokrycie – obecnie z laminatów – wzmocnione wręgami;Wręgi, przedłużenie, pokrycie;Dźwigary, pokrycie, wręgi;Dźwigary, pokrycie, wypełniacz ulowy
604;PL020-0012;Klapka odciążająca służy do:;Zmniejszania sił działających na elementach sterowania sterami i lotkami;Wyważenia samolotu;Ułatwienia wychylenia klap;Zwiększenia stateczności samolotu
605;PL020-0013;Kolor uchwytów i dźwigni w kabinie obsługiwanej przez pilota są:;Barwy poszczególnych dźwigni i uchwytów są znormalizowane w zależności od przeznaczenia dźwigni;Barwy są dowolne;Barwy ustala konstruktor danego samolotu;Kolor dźwigni nie ma znaczenia
606;PL020-0014;Kompensacja masowa (wyważenie masowe);Stosowana do wyeliminowania drgań samowzbudnych lotek i sterów;Stosowana do wyeliminowania drgań klap;Stosowana do wyeliminowania drgań hamulca aerdynamicznego;Stosowana do wyeliminowania drgań sterów przy małych prędkościach
607;PL020-0015;Lotki służą do:;Sterowania przechyleniami samolotu względem jego osi podłużnej;Utrzymanie stateczności samolotu;Sterowalności podłużnej;Sterowalności kierunkowej
608;PL020-0018;Przeznaczenie klap skrzydłowych:;Zasadniczym przeznaczeniem klap jest zwiększenie współczynnika siły nośnej skrzydła;Służą głównie jako hamulec aerodynamiczny;Służą głównie do polepszenia efektywności lotek;Służą do sterowania przechyleniem w osi podłużnej samolotu
609;PL020-0019;Radiostacja w czasie nadawania ma możliwość:;Samopodsłuchu;Zmiany rodzaju modulacji;Zmiany ilości kanałów;Wybrania częstotliwości powyżej 137MHz
610;PL020-0020;Radiostacje lotnicze pracują:;Systemem simpleks;Systemem dupleks;Systemem ogólnym;Inne
611;PL020-0021;Układ „miękki“ sterowania mechanizmami sterowniczymi stanowi:;Linki stalowe i układ rolek;Popychacze połączone z amortyzatorami gumowymi oraz dzwignie;Linki stalowe i popychacze oraz rolki;Popychacze z układem rolek
612;PL020-0022;Układ „sztywny“ sterowania mechanizmami sterowniczymi stanowi:;Popychacze sztywne z układem dźwigni;Popychacze sztywne i linki z układem rolek;Popychacze sztywne i linki z układem dźwigni;Linki w sztywnych rurkach i układ dźwigni
613;PL020-0026;Co wskazuje amperomierz wychylony w prawo od zera:;prawidłową pracę prądnicy lub alternatora;prawidłową pracę prędkościomierza;prawidłową pracę sztucznego horyzontu;prawidłową pracę obrotomierz
614;PL020-0027;Agregaty silnikowe napędzane są;Od silnika poprzez skrzynkę napędów;Bezpośrednio od silnika;Od silnika poprzez reduktor główny;Od silników elektrycznych
615;PL020-0028;Alternator zbudowany jest z:;prądnicy prądu przemiennego z układem prostowniczym;przetwornicy trójfazowej;przetwornicy jednofazowej;prądnicy prądu stałego
616;PL020-0029;Automatyczny układ przeciw poślizgowy zabudowany jest i służy:;Nadajnik na każdym hamowanym kole podwozia głównego i przeciwdziała powstaniu poślizgu poprzez odpowiednie odhamowanie;Nadajnik na wybranym hamowanym kole podwozia głównego i całkowicie rozhamowuje wszystkie koła przy powstaniu poślizgu;Stosowane jest na kołach podwozia przedniego i zabezpiecza przed poślizgiem w czasie skrętu kołami;Zabudowane na podwoziu głównym i odhamowuje koła przed przyziemieniem
617;PL020-0030;Blokada szumów (SQ) w radiostacji UKF służy do:;Wyeliminowania szumów w sygnale użytecznym. W skrajnym przypadku do wyłączenia toru odbiornika w radiostacji;Ograniczenia poziomu nadawanego sygnału;Regulacji poziomu odebranego sygnału;Poprawienia modulacji sygnału
618;PL020-0031;Blokowanie sterów i lotek ma na celu:;Unieruchomienie organów sterowania na ziemi w czasie postoju samolotu;W czasie lotu poziomego;Stosowane tak w locie jak i w czasie postoju samolotu;Nie jest stosowane
619;PL020-0032;Ciśnienie oleju mierzone jest;Na wejściu do silnika;W pompie oleju;W regulatorze ciśnienia oleju;We wtryskiwaczu
620;PL020-0033;Co mierzy trójwskazówkowy kontroler parametrów silnika:;ciśnienie oleju, paliwa oraz temperaturę oleju;ciśnienie oleju i ciśnienie paliwa;ilość paliwa i temperaturę oleju;ilość i ciśnienie paliwa
621;PL020-0034;Co możemy odczytać z wysokościomierza:;wysokość lotu i ciśnienie lotniska;prędkość lotu;kurs lotu;przechylenie samolotu
622;PL020-0035;Co nazywamy pojemnością ogniwa:;ilość elektronów jaką można pobrać z ogniwa;ilość jonów;ilość ciepła;ilość cząsteczek
623;PL020-0037;Co nazywamy żyroskopem:;ciało obrotowe (wirnik) wirujące z dużą prędkoś cią kątową dookoła osi symetrii, gdzie jeden z punktów ciała jest nieruchomy;prędkość lotu;wysokość lotu;kurs lotu
624;PL020-0038;Co określa busola magnetyczna:;kurs magnetyczny samolotu;prędkość lotu;prędkość kątową;ciśnienie lotniska
625;PL020-0041;Co stanowi nadajnik temperatury oleju w układzie trójwskazówkoweg o kontrolera parametrów silnika:;drut oporowy;element magnetyczny;dioda;drut półprzewodnikowy
626;PL020-0042;Co to jest współczynnik bezpieczeństwa konstrukcji lotniczej:;Jest to wartość stosunku wytrzymałości doraźnej do dopuszczalnej. Wartości współczynników określane są w przepisach dotyczących budowy konstrukcji lotniczych i jest większa od 1;Jest to wartość stosunku wytrzymałości zmęczeniowej do dopuszczalnej określana przez konstruktora;Jest wartością stosunku wytrzymałości zmęczeniowej do doraźnej określanej przez nadzór lotniczy;Wartość współczynnika bezpieczeństwa określona jest przepisami lotniczymi dotyczącymi budowy i jest mniejsza od 1
627;PL020-0043;Co wskazuje przyrząd zwany wariometrem:;prędkość pionową samolotu tzn. prędkość wznoszenia i opadania;wysokość lotu;kurs geograficzny;kurs samolotu
628;PL020-0044;Czy kompozyty np. z włókien węglowych, grafitowych, szklanych itp. – stosowane są w konstrukcjach lotniczych:;Tak – jako elementy pokrycia i zbrojenia konstrukcji płatowca i silników;Nie są stosowane;Tylko jako elementy wyposażenia kabin;Tylko w konstrukcji silników lotniczych
629;PL020-0045;Czy rozlanie paliwa w rejonie samolotu wpływa na jego bezpieczeństwo:;Tak – należy przerwać wszelkie prace do czasu zneutralizowania zagrożenia przez kompetentne służby;Można miejsce rozlania zasypać piaskiem i kontynuować pracę;Nie wpływa to na zagrożenie bezpieczeństwa;Zaczekać z pracami przy samolocie do czasu odparowania paliwa
630;PL020-0047;Czym zabezpieczane są obwody elektryczne na samolocie:;bezpiecznikami;izolacją;przekaźnikami;kablami
631;PL020-0048;Czynnikiem wykonawczym w instalacji hamowania kołami podwozia głównego jest głównie:;Płyn hydrauliczny lub powietrze;Układ elektryczny;Mechaniczny układ;Układ mechaniczno- elektryczny
632;PL020-0049;Dla zabezpieczenia łączności radiowej w statku powietrznym zainstalowane są:;Zazwyczaj dwie radiostacje UKF;Cztery radiostacje UKF;Jedna Radiostacja UKF i jedna radiostacja KF;Jedna radiostacja fal średnich
633;PL020-0050;Do chowania i wypuszczania podwozia, głównie stosowane są instalacje:;Hydrauliczna, pneumatyczna i elektryczna;Tylko pneumatyczna;Tylko hydrauliczna;Mechaniczny układ
634;PL020-0051;Do czego przeznaczony jest manometr ciśnienia paliwa:;do pomiaru ciśnienia paliwa podanego do gaźnika;do pomiaru ciśnienia oleju smarującego silnik;do pomiaru temperatury cylindrów silnika;do pomiaru ciśnienia ładowania
635;PL020-0052;Do czego służy rurka spiętrzeniowa na samolocie:;jako nadajnik ciśnienia całkowitego i statycznego;jako nadajnik ciśnienia całkowitego i dynamicznego;jako nadajnik ciśnienia statycznego;jako nadajnik ciśnienia dynamicznego i statycznego
636;PL020-0053;Do czego służy sztuczny horyzont:;do określenia położenia samolotu względem linii horyzontalnej oraz pochylenia i przechyłu samolotu;do określania prędkości samolotu;do określania wysokości lotu samolotu;do określenia ciśnienia lotniska
637;PL020-0054;Do czego służy termometr temperatury cylindrów:;pomiaru temperatury cylindrów silnika;pomiaru ciśnienia oleju;pomiaru ciśnienia ładowania;pomiaru ciśnienia paliwa
638;PL020-0055;Do pracy radiokompasu potrzebna jest :;Antena stała i antena ramowa tzw. ramka;Tylko antena stała;Tylko antena ramowa;Nie potrzebne są anteny
639;PL020-0056;Do pracy radiowysokościomi erza wykorzystano :;Zjawisko odbicia fal radiowych od powierzchni ziemi;Modulację amplitudy;Zjawisko interferencji;Modulację fazy
640;PL020-0057;Do prawidłowego spalania mieszanki w cylindrach niezbędna jest odpowiednia ilość;tlenu;wodoru;węgla;azotu
641;PL020-0058;Do rozładowania elektrostatycznego samolotu w czasie lotu przeznaczone są rozładowywacze które przykręcone są do:;końcówek skrzydeł i steru kierunku;klapy;lotek;klapy i lotek
642;PL020-0059;Dopuszczalny czas pracy silnika na przelotowym zakresie wynosi;Jest nieograniczony;100 godz;1 czasokresu międzynaprawczego;90 procent czasokresu międzynaprawczego
643;PL020-0060;Dopuszczalny czas pracy silnika na zakresie startowym zazwyczaj wynosi;5 min;60 min;30 min;Nieograniczony
644;PL020-0061;Drobne wgniecenia na krawędzi natarcia łopaty śmigła są dopuszczalne;Na końcówce łopaty;U nasady łopaty;Powyżej 1 promienia śmigła;Nie dopuszczalne
645;PL020-0062;Dźwigar jako element konstrukcyjny samolotu:;Stosowany w skrzydłach, statecznikach, sterach, klapach, jako główny element przenoszący obciążenia;Stosowany w kadłubach;Służy tylko jako element łączący zespoły samolotu;Stosowany tylko w konstrukcji sterów
646;PL020-0063;Element łączący łopaty i mocujący śmigło na wale nazywa się;Piastą śmigła;łącznikiem;obsadą;obudową
647;PL020-0064;Element tłumiący drgania silnika przekazywane na płatowiec zwany jest;lord;amortyzator;tłumik;Sworzeń tłumiący
648;PL020-0065;Elementem otwierającym bezpośrednio zawory jest;Dźwignia zaworowa;krzywka;trzonek;popychacz
649;PL020-0066;Elementem przenoszącym moment obrotowy silnika jest;Wał korbowy;Wał rozrządu;korbowód;Sworzeń tłoka
650;PL020-0067;Elementem uszczelniającym współpracujący tłok i cylinder jest;Pierścień;uszczelka;simmering;Nie występuje
651;PL020-0068;Elementem utrzymującym zawory w położeniu zamkniętym jest;Sprężyna zaworowa;Trzonek zaworu;Krzywka rozrządu;Zamek zaworu
652;PL020-0069;Elementy skrzydła, na których zainstalowana jest instalacja przeciw oblodzeniowa:;Krawędź natarcia;Górna powierzchnia skrzydła;Krawędź spływu;Końcówki skrzydła
653;PL020-0070;Ewentualne opiłki powstające w czasie pracy silnika można wykryć w;Filtrze oleju;Misce olejowej;Zbiorniku oleju;Pompie olejowej
654;PL020-0071;Gaźnik jest przeznaczony do;Przygotowania mieszanki palnej;Wtrysk paliwa do układu dolotowego;Wtrysk paliwa do cylindrów;Podgrzanie paliwa
655;PL020-0072;Gdzie pilot może znaleźć informacje dotyczące ograniczeń eksploatacyjnych silnika;Instrukcja Użytkowania Statku Powietrznego;Świadectwie Zdatności;Instrukcji Obsługi Statku Powietrznego;Książce Silnika
656;PL020-0073;Głównymi parametrami pracy silnika kontrolowanymi przez pilota są;Prędkość obrotowa Temperatura oleju Ciśnienie oleju Ciśnienie paliwa;Prędkość obrotowa Temperatura spalin Ciśnienie oleju Ciśnienie paliwa;Prędkość obrotowa Temperatura oleju Ciśnienie w instalacji hydraulicznej Ciśnienie paliwa;Prędkość obrotowa Temperatura paliwa Ciśnienie oleju Ciśnienie paliwa
657;PL020-0076;Ile kolorów mają światła pozycyjne:;3;2;4;1
658;PL020-0077;Ile przewodowa jest instalacja prądu stałego na samolocie:;jednoprzewodowa;trójprzewodowa;czteroprzewodowa;pięcioprzewodowa
659;PL020-0078;Ile stopni swobody ma sztuczny horyzont:;trzy;dwa;cztery;jeden
660;PL020-0079;Ile stopni swobody ma zakrętomierz:;dwa;trzy;cztery;jeden
661;PL020-0080;Ilość oleju w silniku kontrolowana jest zazwyczaj z wykorzystaniem;Miarki bagnetowej;Wskaźnika w kabinie;Zasady naczyń połączonych;Zdalnego pomiaru
662;PL020-0081;Informacji dotyczącej mocy zespołu napędowego ze śmigłem stałym dostarcza pomiar;Prędkości obrotowej;Temperatury głowic;Ciśnienia paliwa;Ciśnienia ładowania
663;PL020-0082;Instalacja przeciwpożarowa zabudowana jest głównie:;W gondolach silników, w rejonach zbiorników paliwowych i w silnikach;W kadłubach i kabinie;Tylko wewnątrz silników;Tylko w gondolach podwozia
664;PL020-0083;Instrukcja Użytkowania w Locie:;Jest obowiązkowym dokumentem, który musi znajdować się na pokładzie samolotu do wykorzystania przez załogę w czasie całego lotu i dotyczy jego użytkowania;Instrukcja służy personelowi technicznemu przy obsłudze samolotu;Instrukcja zawiera czynności techniczne, obsługowe wykorzystywane przez załogę samolotu - pilota;Jest zbiorem procedur operacyjnych
665;PL020-0084;Jak nazywamy element pomiarowy (czuły) wysokościomierza:;puszka próżniowa aneroidowa;różnicowa puszka membranowa;rurka Burdona;przepona gumowa
666;PL020-0085;Jaka jest wartość częstotliwości w sieci prądu przemiennego na samolocie:;400 Hz;50 Hz;200 Hz;600 Hz
667;PL020-0086;Jaka powinna być minimalna wartość napięcia akumulatora na samolocie , sprawdzanego pod obciążeniem:;24 V lub 12 V;40 V;15 V;30 V
668;PL020-0087;Jaką energię przetwarzamy podczas ładowania akumulatora:;elektryczną w chemiczną;chemiczną w elektryczną;elektryczną w cieplną;cieplną w chemiczną
